,Date,Bank_Rate
0,2019Q1,0.75
1,2019Q2,0.75
2,2019Q3,0.75
3,2019Q4,0.75
4,2020Q1,0.61171875
5,2020Q2,0.1
6,2020Q3,0.1
7,2020Q4,0.1
8,2021Q1,0.1
9,2021Q2,0.1
10,2021Q3,0.1
11,2021Q4,0.1234375
12,2022Q1,0.45634920634920634
13,2022Q2,0.9583333333333334
14,2022Q3,1.6171875
15,2022Q4,2.8055555555555554
16,2023Q1,3.85546875
17,2023Q2,4.458333333333333
18,2023Q3,5.16015625
19,2023Q4,5.25
20,2024Q1,5.25
21,2024Q2,5.25
22,2024Q3,5.088461538461538
23,2024Q4,4.85546875
24,2025Q1,4.599206349206349
25,2025Q2,4.348360655737705
26,2025Q3,4.1038461538461535
27,2025Q4,4.0
