Date,CPI_Inflation
2019-01-01,107.8
2020-01-01,108.7
2021-01-01,111.6
2022-01-01,121.7
2023-01-01,130.5
2024-01-01,133.9
2025-01-01,120.30000000000001
2019-01-01,106.7
2019-04-01,107.8
2019-07-01,108.3
2019-10-01,108.5
2020-01-01,108.5
2020-04-01,108.5
2020-07-01,108.9
2020-10-01,109.0
2021-01-01,109.2
2021-04-01,110.7
2021-07-01,111.9
2021-10-01,114.4
2022-01-01,115.9
2022-04-01,120.9
2022-07-01,123.2
2022-10-01,126.7
2023-01-01,127.7
2023-04-01,131.1
2023-07-01,131.4
2023-10-01,132.0
2024-01-01,132.3
2024-04-01,133.8
2024-07-01,134.1
2024-10-01,135.2
2025-01-01,136.0
2025-04-01,138.5
2025-07-01,139.2
2019-01-01,106.3
2019-01-01,106.8
2019-01-01,107.0
2019-04-01,107.6
2019-04-01,107.9
2019-04-01,107.9
2019-07-01,107.9
2019-07-01,108.4
2019-07-01,108.5
2019-10-01,108.3
2019-10-01,108.5
2019-10-01,108.5
2020-01-01,108.2
2020-01-01,108.6
2020-01-01,108.6
2020-04-01,108.5
2020-04-01,108.5
2020-04-01,108.6
2020-07-01,109.1
2020-07-01,108.6
2020-07-01,109.1
2020-10-01,109.1
2020-10-01,108.9
2020-10-01,109.2
2021-01-01,109.0
2021-01-01,109.1
2021-01-01,109.4
2021-04-01,110.1
2021-04-01,110.8
2021-04-01,111.3
2021-07-01,111.3
2021-07-01,112.1
2021-07-01,112.4
2021-10-01,113.6
2021-10-01,114.5
2021-10-01,115.1
2022-01-01,114.9
2022-01-01,115.8
2022-01-01,117.1
2022-04-01,120.0
2022-04-01,120.8
2022-04-01,121.8
2022-07-01,122.5
2022-07-01,123.1
2022-07-01,123.8
2022-10-01,126.2
2022-10-01,126.7
2022-10-01,127.2
2023-01-01,126.4
2023-01-01,127.9
2023-01-01,128.9
2023-04-01,130.4
2023-04-01,131.3
2023-04-01,131.5
2023-07-01,130.9
2023-07-01,131.3
2023-07-01,132.0
2023-10-01,132.0
2023-10-01,131.7
2023-10-01,132.2
2024-01-01,131.5
2024-01-01,132.3
2024-01-01,133.0
2024-04-01,133.5
2024-04-01,133.9
2024-04-01,134.1
2024-07-01,133.8
2024-07-01,134.3
2024-07-01,134.2
2024-10-01,135.0
2024-10-01,135.1
2024-10-01,135.6
2025-01-01,135.4
2025-01-01,136.0
2025-01-01,136.5
2025-04-01,138.2
2025-04-01,138.4
2025-04-01,138.9
2025-07-01,139.0
2025-07-01,139.3
2025-07-01,139.3
2025-10-01,139.8
